n,m,density,weight_min,weight_max,cycle_val,greedy_val,UB_val,cycle_time,greedy_time,greedy_better
20,19,0.1,1,5,2.0,2.0,3.0,0.0003579,0.0005194,False
20,19,0.1,1,5,4.0,5.0,5.0,0.000386,0.0005174,True
20,19,0.1,1,5,2.0,2.0,2.0,0.0003168,0.0005408,False
20,19,0.1,1,5,1.0,1.0,1.0,0.0003254,0.0004931,False
20,19,0.1,1,5,1.0,1.0,2.0,0.0003119,0.0004955,False
20,19,0.1,1,5,1.0,4.0,4.0,0.0003352,0.0005222,True
20,19,0.1,1,5,2.0,2.0,2.0,0.0003717,0.0005356,False
20,19,0.1,1,5,2.0,2.0,2.0,0.0003316,0.0005127,False
20,19,0.1,1,5,3.0,3.0,3.0,0.0003977,0.0005339,False
20,19,0.1,1,5,0.0,0.0,0.0,0.0003144,0.0004611,False
20,19,0.1,1,5,0.0,0.0,0.0,0.0003937,0.0005431,False
20,19,0.1,1,5,2.0,5.0,6.0,0.0004532,0.0005813,True
20,19,0.1,1,5,1.0,1.0,1.0,0.0003083,0.0005311,False
20,19,0.1,1,5,1.0,1.0,1.0,0.0003929,0.0005274,False
20,19,0.1,1,5,0.0,1.0,4.0,0.0003505,0.0005637,True
20,19,0.1,5,10,2.0,10.0,10.0,0.0003301,0.0005052,True
20,19,0.1,5,10,1.0,1.0,1.0,0.0003049,0.0004698,False
20,19,0.1,5,10,5.0,5.0,8.0,0.000335,0.0006256,False
20,19,0.1,5,10,5.0,3.0,7.0,0.0003857,0.0005245,False
20,19,0.1,5,10,1.0,1.0,1.0,0.0003362,0.0004991,False
20,19,0.1,5,10,1.0,2.0,3.0,0.0004118,0.0005553,True
20,19,0.1,5,10,5.0,5.0,5.0,0.0003607,0.0005868,False
20,19,0.1,5,10,10.0,9.0,16.000004,0.00035,0.0004504,False
20,19,0.1,5,10,0.0,5.0,5.0,0.0003235,0.0005019,True
20,19,0.1,5,10,2.0,6.0,6.0,0.0003494,0.0005682,True
20,19,0.1,5,10,0.0,6.0,6.0,0.0003966,0.000654,True
20,19,0.1,5,10,5.0,9.0,13.0,0.0003554,0.0005731,True
20,19,0.1,5,10,2.0,2.0,4.0,0.0003752,0.0005317,False
20,19,0.1,5,10,1.0,1.0,1.0,0.0003115,0.0006031,False
20,19,0.1,5,10,4.0,4.0,4.0,0.0003063,0.0005683,False
20,19,0.1,10,50,3.0,10.0,17.0,0.0003492,0.0005304,True
20,19,0.1,10,50,16.0,16.0,16.0,0.0002814,0.0005561,False
20,19,0.1,10,50,0.0,0.0,0.0,0.0003265,0.0005063,False
20,19,0.1,10,50,20.0,20.0,20.0,0.0003049,0.0005001,False
20,19,0.1,10,50,11.0,2.0,11.0,0.0002976,0.0005126,False
20,19,0.1,10,50,1.0,20.0,20.0,0.000307,0.0005166,True
20,19,0.1,10,50,16.0,18.0,26.0,0.0003954,0.0005353,True
20,19,0.1,10,50,3.0,13.0,13.0,0.0003732,0.0005824,True
20,19,0.1,10,50,1.0,4.0,27.0,0.0003651,0.0006265,True
20,19,0.1,10,50,5.0,13.0,14.0,0.0003247,0.0006638,True
20,19,0.1,10,50,25.0,25.0,25.0,0.0003523,0.000592,False
20,19,0.1,10,50,1.0,9.0,13.0,0.0004416,0.0007038,True
20,19,0.1,10,50,46.0,46.0,46.0,0.0004524,0.0006429,False
20,19,0.1,10,50,1.0,65.0,67.0,0.0003774,0.0006806,True
20,19,0.1,10,50,11.0,8.0,17.0,0.0004135,0.0007335,False
20,28,0.15,1,5,3.0,7.0,11.0,0.0003402,0.00074,True
20,28,0.15,1,5,2.0,1.0,6.0,0.0004014,0.000788,False
20,28,0.15,1,5,3.0,6.0,8.0,0.0003905,0.0006904,True
20,28,0.15,1,5,1.0,1.0,6.0,0.0003557,0.0007402,False
20,28,0.15,1,5,3.0,1.0,6.0,0.0003771,0.0007756,False
20,28,0.15,1,5,2.0,5.0,9.0,0.0004136,0.0007437,True
20,28,0.15,1,5,1.0,4.0,6.0,0.0003614,0.000724,True
20,28,0.15,1,5,2.0,4.0,6.0,0.0003351,0.0006829,True
20,28,0.15,1,5,2.0,5.0,6.0,0.0008372,0.0015939,True
20,28,0.15,1,5,3.0,4.0,7.0,0.0004161,0.0008346,True
20,28,0.15,1,5,3.0,3.0,6.0,0.0003788,0.0007503,False
20,28,0.15,1,5,3.0,4.0,11.0,0.0004559,0.0007485,True
20,28,0.15,1,5,1.0,4.0,8.0,0.0003955,0.0007393,True
20,28,0.15,1,5,1.0,4.0,8.0,0.0003964,0.0007735,True
20,28,0.15,1,5,2.0,3.0,10.0,0.0004045,0.0006876,True
20,28,0.15,5,10,13.0,11.0,21.0,0.0004228,0.0008495,False
20,28,0.15,5,10,8.0,3.0,16.0,0.0004038,0.0008249,False
20,28,0.15,5,10,7.0,7.0,20.0,0.0004304,0.00073,False
20,28,0.15,5,10,0.0,12.0,23.0,0.0003605,0.0005989,True
20,28,0.15,5,10,9.0,14.0,18.0,0.0006783,0.001076,True
20,28,0.15,5,10,3.0,5.0,17.0,0.0004168,0.0008939,True
20,28,0.15,5,10,4.0,9.0,15.0,0.0004323,0.0008341,True
20,28,0.15,5,10,3.0,8.0,15.0,0.0004145,0.0008396,True
20,28,0.15,5,10,7.0,13.0,15.0,0.000421,0.0008161,True
20,28,0.15,5,10,9.0,10.0,22.0,0.000414,0.0009205,True
20,28,0.15,5,10,2.0,13.0,21.0,0.0005125,0.0008649,True
20,28,0.15,5,10,11.0,11.0,18.0,0.0006804,0.0013993,False
20,28,0.15,5,10,6.0,5.0,15.0,0.000419,0.0008691,False
20,28,0.15,5,10,25.0,20.0,29.0,0.0004391,0.00084,False
20,28,0.15,5,10,8.0,9.0,18.0,0.0004725,0.0009604,True
20,28,0.15,10,50,23.0,31.0,72.0,0.0004495,0.0012879,True
20,28,0.15,10,50,9.0,8.0,45.0,0.0003877,0.0007732,False
20,28,0.15,10,50,12.0,16.0,46.0,0.0004765,0.0009046,True
20,28,0.15,10,50,12.0,24.0,57.0,0.0004082,0.000793,True
20,28,0.15,10,50,27.0,51.0,81.0,0.000482,0.000794,True
20,28,0.15,10,50,43.0,24.0,94.0,0.0004417,0.0008893,False
20,28,0.15,10,50,49.0,43.0,100.0,0.0004224,0.0008195,False
20,28,0.15,10,50,2.0,8.0,31.0,0.000449,0.0010055,True
20,28,0.15,10,50,64.0,38.0,77.0,0.0004253,0.0008232,False
20,28,0.15,10,50,15.0,37.0,79.0,0.0004474,0.0008423,True
20,28,0.15,10,50,45.0,42.0,87.0,0.0004564,0.0008514,False
20,28,0.15,10,50,46.0,43.0,74.0,0.0004818,0.0014993,False
20,28,0.15,10,50,3.0,9.0,34.0,0.0004134,0.0013191,True
20,28,0.15,10,50,22.0,32.0,61.0,0.0004471,0.0008649,True
20,28,0.15,10,50,17.0,53.0,83.0,0.000421,0.0014147,True
20,38,0.2,1,5,2.0,4.0,14.000002,0.0004581,0.0009679,True
20,38,0.2,1,5,5.0,6.0,16.0,0.0004958,0.0009165,True
20,38,0.2,1,5,2.0,3.0,15.0,0.0004639,0.0011507,True
20,38,0.2,1,5,5.0,6.0,18.000002,0.0009645,0.0019878,True
20,38,0.2,1,5,5.0,4.0,19.000002,0.0004759,0.0009013,False
20,38,0.2,1,5,3.0,6.0,15.0,0.0004545,0.001178,True
20,38,0.2,1,5,1.0,4.0,14.000002,0.0006203,0.0010322,True
20,38,0.2,1,5,2.0,5.0,15.0,0.0005345,0.0010926,True
20,38,0.2,1,5,3.0,4.0,18.0,0.0004,0.0008339,True
20,38,0.2,1,5,2.0,6.0,17.000003,0.0005043,0.0010766,True
20,38,0.2,1,5,3.0,6.0,14.000001,0.0004845,0.0008893,True
20,38,0.2,1,5,2.0,6.0,13.0,0.0004678,0.0009831,True
20,38,0.2,1,5,1.0,6.0,15.000001,0.0005035,0.0008423,True
20,38,0.2,1,5,2.0,4.0,14.0,0.00048,0.0011171,True
20,38,0.2,1,5,4.0,4.0,13.000001,0.0007243,0.0014359,False
20,38,0.2,5,10,18.0,20.0,40.000013,0.000526,0.0011576,True
20,38,0.2,5,10,5.0,18.0,32.0,0.0005317,0.0010637,True
20,38,0.2,5,10,6.0,34.0,46.0,0.0004899,0.0009208,True
20,38,0.2,5,10,12.0,7.0,31.0,0.0004872,0.0009602,False
20,38,0.2,5,10,1.0,15.0,45.000002,0.0006373,0.0015356,True
20,38,0.2,5,10,7.0,16.0,43.0,0.0005535,0.0013699,True
20,38,0.2,5,10,23.0,22.0,45.0,0.0005826,0.0013794,False
20,38,0.2,5,10,4.0,22.0,54.000003,0.000475,0.0011158,True
20,38,0.2,5,10,10.0,11.0,41.0,0.0005112,0.0011777,True
20,38,0.2,5,10,10.0,23.0,45.0,0.0005028,0.0011376,True
20,38,0.2,5,10,8.0,24.0,34.0,0.0005191,0.0018237,True
20,38,0.2,5,10,7.0,16.0,30.0,0.0005094,0.0009911,True
20,38,0.2,5,10,12.0,6.0,45.000005,0.000536,0.001096,False
20,38,0.2,5,10,12.0,10.0,39.0,0.0007334,0.0018959,False
20,38,0.2,5,10,1.0,12.0,31.0,0.0007109,0.0010939,True
20,38,0.2,10,50,25.0,36.0,139.0,0.0005989,0.0013859,True
20,38,0.2,10,50,47.0,51.0,159.0,0.0005459,0.0010123,True
20,38,0.2,10,50,28.0,41.0,148.0,0.0005435,0.0011717,True
20,38,0.2,10,50,38.0,103.0,164.0,0.0005281,0.0012272,True
20,38,0.2,10,50,5.0,23.0,172.0,0.0008027,0.0013821,True
20,38,0.2,10,50,13.0,22.0,162.0,0.0005192,0.0013133,True
20,38,0.2,10,50,20.0,93.0,179.0,0.0007263,0.0019832,True
20,38,0.2,10,50,17.0,71.0,161.0,0.0005653,0.0011138,True
20,38,0.2,10,50,30.0,70.0,171.000001,0.0005631,0.001245,True
20,38,0.2,10,50,42.0,54.0,167.0,0.000594,0.001158,True
20,38,0.2,10,50,60.0,74.0,207.0,0.0005347,0.0013093,True
20,38,0.2,10,50,59.0,54.0,167.0,0.0006265,0.0014382,False
20,38,0.2,10,50,27.0,64.0,135.0,0.0009482,0.0021136,True
20,38,0.2,10,50,20.0,32.0,157.0,0.0005258,0.0012797,True
20,38,0.2,10,50,8.0,36.0,165.0,0.0010969,0.0029525,True
20,47,0.25,1,5,8.0,6.0,26.000001,0.0005216,0.0011812,False
20,47,0.25,1,5,4.0,8.0,26.0,0.0006595,0.001461,True
20,47,0.25,1,5,4.0,9.0,25.000001,0.0004657,0.0009943,True
20,47,0.25,1,5,3.0,7.0,29.0,0.0005598,0.0011683,True
20,47,0.25,1,5,3.0,6.0,26.0,0.0005487,0.0012223,True
20,47,0.25,1,5,4.0,9.0,28.0,0.0005605,0.0012176,True
20,47,0.25,1,5,10.0,10.0,26.0,0.0005894,0.001228,False
20,47,0.25,1,5,5.0,9.0,28.000004,0.0006269,0.0012539,True
20,47,0.25,1,5,7.0,6.0,25.0,0.0005723,0.0012526,False
20,47,0.25,1,5,5.0,9.0,28.000001,0.0007067,0.0018549,True
20,47,0.25,1,5,1.0,2.0,27.000002,0.0006511,0.0021767,True
20,47,0.25,1,5,5.0,7.0,25.000001,0.0006039,0.0012226,True
20,47,0.25,1,5,13.0,10.0,32.000002,0.000513,0.0010286,False
20,47,0.25,1,5,5.0,7.0,31.000001,0.0005685,0.0013988,True
20,47,0.25,1,5,7.0,6.0,25.0,0.0005694,0.0011081,False
20,47,0.25,5,10,15.0,16.0,59.000003,0.0005599,0.0011838,True
20,47,0.25,5,10,6.0,18.0,66.000001,0.0005907,0.0013839,True
20,47,0.25,5,10,11.0,16.0,66.0,0.0006427,0.0015111,True
20,47,0.25,5,10,10.0,13.0,72.0,0.0006576,0.0016763,True
20,47,0.25,5,10,24.0,24.0,62.000002,0.000636,0.0013064,False
20,47,0.25,5,10,24.0,8.0,75.000003,0.0006441,0.0021296,False
20,47,0.25,5,10,6.0,27.0,65.0,0.0005749,0.0012832,True
20,47,0.25,5,10,11.0,21.0,63.0,0.0005521,0.0012043,True
20,47,0.25,5,10,21.0,24.0,64.000001,0.0006371,0.0013119,True
20,47,0.25,5,10,11.0,18.0,67.0,0.0005772,0.0012935,True
20,47,0.25,5,10,1.0,11.0,60.0,0.000596,0.0013766,True
20,47,0.25,5,10,9.0,21.0,66.0,0.0006016,0.0016659,True
20,47,0.25,5,10,13.0,22.0,69.0,0.0007397,0.001338,True
20,47,0.25,5,10,8.0,11.0,53.0,0.0005856,0.0020239,True
20,47,0.25,5,10,15.0,23.0,62.000003,0.0006736,0.001836,True
20,47,0.25,10,50,111.0,66.0,254.0,0.0006732,0.0014102,False
20,47,0.25,10,50,53.0,59.0,241.0,0.0007024,0.0015535,True
20,47,0.25,10,50,43.0,86.0,268.0,0.0006789,0.0022137,True
20,47,0.25,10,50,19.0,92.0,277.000003,0.0007366,0.0025153,True
20,47,0.25,10,50,21.0,41.0,200.0,0.0010066,0.0026893,True
20,47,0.25,10,50,15.0,41.0,253.000002,0.0006332,0.0013188,True
