# DGP instance in .dat format for dgp.mod
# this graph is a DGP encoding of a random instance

param : E : c I :=
  6 18  22.000 0
  16 20  29.000 0
  7 17  31.000 0
  26 30  45.000 0
  16 29  39.000 0
  3 13  35.000 0
  3 22  49.000 0
  5 28  10.000 0
  4 30  37.000 0
  9 26  26.000 0
  1 15  13.000 0
  10 27  44.000 0
  1 24  19.000 0
  24 26  20.000 0
  7 10  42.000 0
  13 26  48.000 0
  18 19  46.000 0
  7 19  29.000 0
  7 28  37.000 0
  3 15  37.000 0
  5 12  31.000 0
  8 11  20.000 0
  22 28  30.000 0
  23 27  44.000 0
  14 24  20.000 0
  14 15  35.000 0
  3 24  48.000 0
  11 16  10.000 0
  9 28  44.000 0
  1 8  40.000 0
  10 20  20.000 0
  15 16  10.000 0
  7 12  31.000 0
  13 28  10.000 0
  2 25  27.000 0
  16 24  41.000 0
  3 8  33.000 0
  12 20  27.000 0
  3 17  10.000 0
  5 14  13.000 0
  22 30  20.000 0
  12 29  33.000 0
  23 29  38.000 0
  5 23  38.000 0
  14 26  28.000 0
  15 18  28.000 0
  16 17  31.000 0
  13 30  11.000 0
  2 27  26.000 0
  16 26  37.000 0
  18 23  36.000 0
  21 25  46.000 0
  9 14  25.000 0
  3 28  28.000 0
  1 3  40.000 0
  10 15  46.000 0
  13 14  26.000 0
  1 12  10.000 0
  19 27  28.000 0
  8 27  13.000 0
  13 23  16.000 0
  10 24  16.000 0
  2 20  15.000 0
  1 30  11.000 0
  6 29  37.000 0
  20 28  15.000 0
  22 25  28.000 0
  3 21  46.000 0
  4 20  14.000 0
  14 30  50.000 0
  4 29  43.000 0
  8 20  41.000 0
  10 17  27.000 0
  1 14  41.000 0
  13 16  41.000 0
  2 13  28.000 0
  19 29  21.000 0
  8 29  19.000 0
  24 25  32.000 0
  11 25  36.000 0
  1 23  45.000 0
  16 30  20.000 0
  6 22  46.000 0
  20 21  46.000 0
  12 17  25.000 0
  3 14  22.000 0
  21 29  34.000 0
  14 23  25.000 0
  8 13  43.000 0
  13 18  11.000 0
  1 25  28.000 0
  11 27  17.000 0
  2 24  22.000 0
  16 23  27.000 0
  15 27  26.000 0
  3 7  36.000 0
  26 27  41.000 0
  12 19  22.000 0
  14 16  12.000 0
  4 15  16.000 0
  23 28  43.000 0
  4 24  44.000 0
  8 15  26.000 0
  2 8  30.000 0
  10 21  21.000 0
  9 23  15.000 0
  1 18  46.000 0
  11 29  35.000 0
  15 20  49.000 0
  15 29  28.000 0
  3 9  18.000 0
  5 6  50.000 0
  7 25  10.000 0
  6 26  27.000 0
  4 8  28.000 0
  3 18  16.000 0
  14 18  41.000 0
  12 30  13.000 0
  10 14  44.000 0
  11 13  15.000 0
  28 29  10.000 0
  2 19  25.000 0
  2 28  21.000 0
  6 19  30.000 0
  7 18  46.000 0
  29 30  50.000 0
  4 10  25.000 0
  12 23  50.000 0
  4 28  45.000 0
  5 20  41.000 0
  2 3  29.000 0
  5 29  10.000 0
  19 28  48.000 0
  8 28  26.000 0
  9 27  41.000 0
  2 21  17.000 0
  6 12  36.000 0
  3 4  20.000 0
  4 12  50.000 0
  7 29  21.000 0
  8 12  47.000 0
  1 6  31.000 0
  8 21  13.000 0
  19 21  16.000 0
  2 14  19.000 0
  8 30  21.000 0
  19 30  41.000 0
  9 29  21.000 0
  15 17  30.000 0
  7 13  29.000 0
  13 29  34.000 0
  7 22  43.000 0
  4 14  20.000 0
  21 30  17.000 0
  5 15  48.000 0
  9 13  38.000 0
  3 27  36.000 0
  2 7  34.000 0
  19 23  42.000 0
  17 26  22.000 0
  11 19  24.000 0
  13 22  33.000 0
  26 28  38.000 0
  16 27  26.000 0
  5 8  37.000 0
  17 19  20.000 0
  8 16  26.000 0
  10 13  13.000 0
  11 12  48.000 0
  2 9  32.000 0
  3 29  42.000 0
  14 29  35.000 0
  6 9  46.000 0
  7 8  17.000 0
;
