# DGP instance in .dat format for dgp.mod
# this graph is a DGP encoding of a random instance

param : E : c I :=
  16 20  19.000 0
  6 21  10.000 0
  4 6  13.000 0
  12 13  4.000 0
  3 13  9.000 0
  3 22  8.000 0
  5 19  28.000 0
  1 6  12.000 0
  10 12  6.000 0
  8 24  24.000 0
  13 14  14.000 0
  2 17  3.000 0
  16 19  27.000 0
  15 20  16.000 0
  6 17  9.000 0
  18 22  2.000 0
  4 8  33.000 0
  14 18  17.000 0
  22 25  8.000 0
  13 21  6.000 0
  1 2  24.000 0
  11 19  30.000 0
  1 14  6.000 0
  7 9  7.000 0
  1 23  26.000 0
  11 25  8.000 0
  1 17  21.000 0
  7 12  16.000 0
  15 19  24.000 0
  6 16  16.000 0
  22 24  7.000 0
  1 4  25.000 0
  7 11  27.000 0
  9 21  11.000 0
  19 22  14.000 0
  1 19  23.000 0
  7 8  28.000 0
  16 23  30.000 0
;
